feature1-total words,feature2-first-person pronoun,feature3-negation word,feature4-positive word,feature5-negative word,feature8-tokens per sentence,feature10-dependency tree depth,feature15-attributives,feature16-adverbials,feature19-positive emotion,feature20-negative emotion,feature21-neutral emotionb,SE-self-esteem
67,0.044776119,0.014925373,0.149253731,0.029850746,9.285714286,4.285714286,0.857142857,3.285714286,0.571428571,0.428571429,0,35
51,0.058823529,0,0.215686275,0,12.75,5,2.25,1.75,1,0,0,27
46,0.086956522,0.02173913,0.086956522,0.043478261,11.5,4.75,2,3.25,0.5,0.5,0,28
92,0.054347826,0.043478261,0.108695652,0.054347826,10,3.555555556,0.666666667,4.666666667,0.444444444,0.555555556,0,29
69,0.014492754,0.014492754,0.115942029,0.043478261,11.83333333,4.5,2.166666667,4,0.166666667,0.833333333,0,27
94,0.085106383,0.010638298,0.053191489,0.031914894,15.5,5.166666667,4.166666667,3,0.333333333,0.5,0.166666667,30
78,0.064102564,0,0.102564103,0,15.2,4.8,3,4.2,0.8,0,0.2,27
78,0.012820513,0.012820513,0.128205128,0,9.875,4,1.75,2.5,0.875,0,0.125,40
65,0.076923077,0,0.061538462,0.076923077,21.66666667,6.666666667,5.333333333,4.666666667,0,1,0,35
77,0.064935065,0.012987013,0.077922078,0.012987013,9.75,5,1.375,1.375,0.875,0.125,0,30
61,0.049180328,0.06557377,0.081967213,0.098360656,12.2,4.6,1,2.8,0,1,0,32
73,0.082191781,0.01369863,0.123287671,0.01369863,10.42857143,4.428571429,2.714285714,2.571428571,0.571428571,0.428571429,0,28
85,0.094117647,0,0.141176471,0.011764706,12.14285714,4.428571429,2,3.285714286,0.714285714,0.285714286,0,29
77,0.103896104,0,0.077922078,0.064935065,7.7,3.9,1.1,2.1,0.4,0.6,0,39
69,0.086956522,0,0.072463768,0,9.714285714,3.857142857,1.571428571,2.857142857,0.285714286,0.428571429,0.285714286,21
60,0.1,0,0.116666667,0,12,4.8,3,2.4,0.6,0.2,0.2,30
59,0.118644068,0,0.152542373,0.016949153,12,4.8,2.2,3.4,0.2,0.6,0.2,32
85,0.094117647,0.011764706,0.082352941,0.011764706,12.14285714,4.714285714,2.142857143,4.142857143,0.571428571,0.428571429,0,32
89,0.112359551,0.033707865,0.146067416,0.02247191,11,4.5,1.125,4.375,0.25,0.75,0,35
71,0.042253521,0.042253521,0.183098592,0.028169014,10.28571429,4.857142857,1.428571429,3.428571429,0.571428571,0.428571429,0,29
86,0.104651163,0.023255814,0.174418605,0.023255814,9.555555556,4.333333333,1.555555556,3.111111111,0.555555556,0.444444444,0,21
88,0.147727273,0.011363636,0.136363636,0,11,4.75,1.375,3.75,0.875,0,0.125,34
33,0.060606061,0.03030303,0.151515152,0.03030303,6.6,3,0.2,2,0.8,0.2,0,29
81,0.074074074,0,0.160493827,0.012345679,13.66666667,5,2.166666667,3.666666667,0.833333333,0,0.166666667,32
71,0.084507042,0,0.154929577,0.042253521,7.888888889,3.555555556,1.222222222,2.444444444,0.333333333,0.444444444,0.222222222,30
86,0.058139535,0,0.11627907,0.023255814,10.875,4.75,2.125,3.25,0.75,0.125,0.125,32
66,0.090909091,0.015151515,0.166666667,0,8.25,3.625,0.875,3.5,0.5,0.25,0.25,28
88,0.113636364,0,0.136363636,0.022727273,11.125,4.5,2.125,3.25,0.625,0.375,0,30
61,0.114754098,0,0.114754098,0.049180328,10.16666667,4.5,1.166666667,2.5,0.666666667,0.333333333,0,31
82,0.085365854,0.012195122,0.109756098,0,10.25,4.5,1.375,3.5,0.25,0.25,0.5,37
78,0.051282051,0.025641026,0.115384615,0,11.28571429,4.285714286,1.428571429,3.428571429,0,0.857142857,0.142857143,24
61,0.06557377,0.016393443,0.131147541,0.032786885,10.66666667,4,1.5,5.166666667,0.666666667,0.333333333,0,29
68,0.102941176,0.014705882,0.058823529,0.044117647,9.857142857,4.428571429,1.428571429,2.857142857,0,1,0,25
94,0.095744681,0,0.117021277,0.021276596,9.4,4.2,1.6,2.4,0.4,0.5,0.1,27
91,0.131868132,0.032967033,0.10989011,0.010989011,11.375,4.375,1.875,2.625,0.5,0.5,0,28
76,0.039473684,0,0.052631579,0.052631579,15.2,6.6,2.6,4.4,0.8,0.2,0,28
94,0.106382979,0,0.127659574,0.021276596,11.75,4.125,0.875,4.625,0.75,0.25,0,23
95,0.105263158,0,0.105263158,0,12,4.25,1.375,3.25,0.875,0,0.125,34
79,0.101265823,0,0.202531646,0,8.555555556,4,0.888888889,2.555555556,0.888888889,0.111111111,0,36
65,0.076923077,0.015384615,0.123076923,0.015384615,9.285714286,4.714285714,1.428571429,2.714285714,0.571428571,0.428571429,0,30
