feature1-total words,feature2-first-person pronoun,feature3-negation word,feature4-positive word,feature5-negative word,feature8-tokens per sentence,feature10-dependency tree depth,feature15-attributives,feature16-adverbials,feature19-positive emotion,feature20-negative emotion,feature21-neutral emotionb,SE-self-esteem
65,0.076923077,0.015384615,0.092307692,0.015384615,12.8,5.8,2.8,3.8,0.6,0.2,0.2,35
60,0.083333333,0,0.1,0.033333333,8.571428571,3.714285714,1,2.571428571,0.857142857,0.142857143,0,27
52,0.096153846,0,0.192307692,0,13,5,2.25,3.5,1,0,0,28
80,0.0375,0.05,0.075,0.0125,14,4.5,0.833333333,4.833333333,0.166666667,0.666666667,0.166666667,29
84,0.095238095,0.023809524,0.119047619,0.047619048,11.85714286,4.857142857,1.428571429,4,0.571428571,0.428571429,0,27
101,0.079207921,0,0.089108911,0.00990099,16.66666667,5.166666667,5.166666667,3.5,0.5,0.166666667,0.333333333,30
86,0.081395349,0,0.104651163,0.046511628,14.33333333,5.333333333,2.666666667,3.833333333,1,0,0,27
70,0.028571429,0,0.157142857,0.028571429,11.83333333,4.5,2.166666667,3.666666667,0.833333333,0.166666667,0,40
71,0.098591549,0.028169014,0.098591549,0.070422535,11.83333333,4.5,1.166666667,3.166666667,0.5,0.5,0,35
69,0.101449275,0,0.144927536,0.014492754,11.16666667,4.666666667,2.166666667,2,0.5,0.5,0,30
46,0.065217391,0.043478261,0.173913043,0.02173913,9.2,4.2,1.6,1.8,0.6,0.4,0,32
70,0.1,0,0.1,0.014285714,17,5,4.5,3.5,1,0,0,28
68,0.058823529,0,0.161764706,0.044117647,13.6,4.8,2.6,4.2,1,0,0,29
93,0.129032258,0,0.150537634,0.021505376,9.4,4.2,1.5,2.4,0.6,0.2,0.2,39
71,0.14084507,0.014084507,0.14084507,0,12,4.333333333,1.666666667,3,0.833333333,0.166666667,0,21
73,0.068493151,0.02739726,0.04109589,0.068493151,15,5,3.2,3.2,0.2,0.8,0,30
78,0.051282051,0,0.166666667,0,11,4.714285714,2.142857143,3.714285714,0.857142857,0.142857143,0,32
61,0.049180328,0.049180328,0.081967213,0,12.2,4.2,2.8,2.8,0.4,0.4,0.2,32
78,0.102564103,0.012820513,0.141025641,0.012820513,11.42857143,4.571428571,1,4,0.571428571,0.285714286,0.142857143,35
78,0.051282051,0.025641026,0.128205128,0.012820513,13.16666667,4.666666667,1.333333333,5.833333333,1,0,0,29
85,0.082352941,0.011764706,0.082352941,0,10.625,5.5,2.25,2.625,0.25,0.625,0.125,21
81,0.098765432,0,0.086419753,0.049382716,11.71428571,4.714285714,1.428571429,3.714285714,0.857142857,0.142857143,0,34
52,0.134615385,0,0.134615385,0.038461538,8.5,3.666666667,1.166666667,1.166666667,0.833333333,0,0.166666667,29
73,0.095890411,0,0.205479452,0,12.16666667,4.333333333,0.833333333,4.666666667,1,0,0,32
61,0.049180328,0,0.131147541,0,8.714285714,4.142857143,0.857142857,2.714285714,0.857142857,0.142857143,0,30
77,0.077922078,0.012987013,0.181818182,0.012987013,11,4.285714286,1.428571429,4,0.714285714,0.142857143,0.142857143,32
78,0.102564103,0,0.128205128,0,11,3.714285714,1,3.428571429,0.857142857,0,0.142857143,28
94,0.063829787,0,0.159574468,0,11.75,4.875,1.875,3.125,1,0,0,30
81,0.086419753,0.012345679,0.197530864,0,11.57142857,5,1.428571429,2.714285714,0.857142857,0.142857143,0,31
